theta,tx,ty
-5.20082e-06,2.0588,-0.511741
-3.31284e-05,2.202,-0.516209
2.6247e-05,2.19191,-0.478821
-7.40399e-06,2.13229,-0.48571
-1.54889e-05,2.16736,-0.485447
-3.74623e-05,2.15379,-0.460524
1.77018e-06,2.19072,-0.466156
-1.39559e-05,2.23821,-0.450187
-1.8427e-05,2.20339,-0.383945
-3.87369e-05,2.24753,-0.416893
-1.35142e-05,2.24507,-0.395959
-8.94664e-06,2.2098,-0.40374
-1.43373e-05,2.29128,-0.38498
-4.80961e-06,2.23033,-0.470579
2.00455e-05,2.27032,-0.354089
-2.77164e-05,2.24509,-0.431901
-2.48392e-05,2.21568,-0.403442
1.80826e-05,2.31276,-0.43803
-2.39474e-05,2.25481,-0.358499
-5.55787e-05,2.36916,-0.437077
-8.0151e-06,2.31994,-0.343221
-7.70907e-05,2.26174,-0.380673
-4.8969e-05,2.39227,-0.372225
-8.07034e-05,2.33721,-0.384466
-1.59222e-06,2.40853,-0.395431
-3.07894e-05,2.33128,-0.402022
-2.29609e-05,2.42057,-0.326372
4.18333e-05,2.47769,-0.372811
-3.65563e-05,2.32181,-0.368233
-1.41782e-05,2.45334,-0.351376
-1.04667e-05,2.42454,-0.38916
-4.97273e-05,2.40249,-0.356012
-4.04515e-05,2.46158,-0.33062
3.21897e-05,2.51114,-0.370393
-1.86188e-05,2.34364,-0.324803
4.58406e-06,2.45494,-0.344736
-3.05185e-05,2.49568,-0.269732
-1.20987e-05,2.4893,-0.283496
3.06761e-06,2.49301,-0.316221
-3.12269e-05,2.48968,-0.300198
-1.91319e-05,2.4652,-0.320709
-7.1193e-05,2.41461,-0.326566
2.06523e-05,2.54352,-0.312803
-6.93615e-05,2.56274,-0.343508
2.56769e-06,2.5088,-0.305339
-3.58519e-05,2.62148,-0.283827
-6.24077e-05,2.57881,-0.325802
2.63803e-05,2.5372,-0.308378
-5.03375e-05,2.51073,-0.296329
-1.77035e-05,2.53204,-0.243157
-1.36529e-05,2.67824,-0.218652
-2.72204e-05,2.67337,-0.232351
1.58825e-05,2.68623,-0.234619
-1.14347e-05,2.58156,-0.286043
1.65564e-05,2.49968,-0.303671
2.73997e-05,2.52947,-0.31266
-4.0951e-05,2.46382,-0.414983
-1.58246e-05,2.47446,-0.459956
1.76792e-05,2.44116,-0.452115
2.70232e-05,2.46889,-0.455899
-1.02315e-05,2.41408,-0.480079
2.56991e-05,2.57513,-0.497307
9.63562e-05,2.50673,-0.562646
2.22248e-05,2.44097,-0.540509
3.15741e-05,2.36322,-0.575305
6.71247e-06,2.42404,-0.547069
-3.783e-05,2.43374,-0.66447
3.82351e-05,2.35488,-0.626053
-1.48478e-05,2.47792,-0.662432
-2.30151e-05,2.41854,-0.673084
8.96537e-06,2.43968,-0.673948
1.05461e-05,2.46971,-0.685315
-3.23644e-05,2.49993,-0.744215
-2.83708e-05,2.32496,-0.748188
-7.7449e-07,2.4082,-0.738014
-2.59103e-05,2.46002,-0.72988
-9.36372e-07,2.43658,-0.773781
-1.28272e-06,2.44,-0.765789
-1.43041e-06,2.4418,-0.830238
1.27545e-05,2.37012,-0.902857
2.3158e-05,2.50643,-0.795217
-4.11643e-05,2.42055,-0.812059
-1.13573e-07,2.42585,-0.882066
-7.09614e-06,2.44606,-0.94274
6.74483e-06,2.3885,-0.891396
7.03815e-06,2.40376,-0.933162
1.24848e-05,2.30471,-0.938237
1.14432e-05,2.43477,-0.984484
-3.28924e-05,2.45683,-0.967566
-2.55891e-05,2.32876,-0.985196
3.13164e-05,2.35668,-0.994241
2.87321e-05,2.38324,-1.00343
-2.16934e-05,2.4106,-1.00962
-1.33235e-05,2.27237,-0.997166
-7.15405e-05,2.32799,-1.02433
-3.08787e-05,2.33692,-1.01306
-5.54713e-05,2.35623,-1.04108
-3.55137e-05,2.32564,-1.02312
-1.12288e-05,2.39266,-1.08791
-2.46801e-05,2.41593,-1.06709
-4.476e-05,2.32808,-1.11875
-4.38003e-06,2.33578,-1.14006
-6.27065e-05,2.38219,-1.10735
-3.08373e-05,2.3347,-1.0954
-1.93177e-05,2.25372,-1.17889
-2.96503e-05,2.28198,-1.16231
-4.39017e-05,2.32677,-1.20345
-6.52282e-05,2.29968,-1.16684
1.56582e-05,2.29121,-1.22211
