x,y,z
2.1527429,0.174161,-1.0894599
2.1525135,0.17360798,-1.0894853
2.1506677,0.17274189,-1.0893917
2.149686,0.17209238,-1.0893577
2.1487412,0.17145768,-1.0893258
2.147726,0.17075154,-1.0892935
2.1466982,0.17005493,-1.0892591
2.1456566,0.16935815,-1.0892236
2.1446595,0.16867092,-1.0891914
2.1436796,0.16803536,-1.0891564
2.144456,0.16773584,-1.089251
2.1435227,0.16710006,-1.0892202
2.142593,0.16639614,-1.0891953
2.1413822,0.16574991,-1.0891404
2.1402016,0.16511863,-1.089087
2.1371138,0.16399103,-1.0889039
2.135901,0.16332617,-1.0888504
2.1346264,0.16261649,-1.0887951
2.1334043,0.16193318,-1.0887423
2.1321754,0.16120875,-1.0886922
2.1309695,0.16051994,-1.0886414
2.1303422,0.15803687,-1.0887918
2.1291382,0.15734991,-1.088741
2.1279323,0.15666133,-1.08869
2.126748,0.1560064,-1.0886383
2.1255646,0.15528569,-1.088592
2.1243374,0.15455297,-1.0885429
2.1231117,0.15382385,-1.0884936
2.1217473,0.15308654,-1.0884326
2.1191788,0.15023758,-1.0884392
2.117937,0.14949137,-1.0883899
2.1167455,0.14877549,-1.0883424
2.115439,0.14795461,-1.0882936
2.1141024,0.1472188,-1.0882349
2.1127515,0.14642265,-1.08818
2.1117926,0.14411357,-1.0882862
2.1104512,0.14341927,-1.0882235
2.1072083,0.14241932,-1.0880158
2.1057763,0.14173019,-1.0879445
2.1043963,0.140965,-1.0878844
2.1034315,0.13839872,-1.0880115
2.1020455,0.13765311,-1.0879492
2.0988955,0.13663048,-1.0877516
2.0975657,0.13583416,-1.0876985
2.0966516,0.13336736,-1.0878218
2.0952482,0.13259247,-1.0877604
2.093798,0.13183199,-1.0876936
2.0906076,0.13088569,-1.087486
2.0892057,0.13014951,-1.0874215
2.089719,0.12973815,-1.0875018
2.0869057,0.12704316,-1.0874736
2.085546,0.12628111,-1.0874151
2.0842614,0.12542728,-1.0873709
2.082789,0.12463136,-1.0873051
2.0816507,0.12199916,-1.0874219
2.0783026,0.12084477,-1.0872176
2.0772471,0.1183162,-1.0873333
2.0758007,0.1175943,-1.0872636
2.0743346,0.116835,-1.0871953
2.0729425,0.116072826,-1.0871338
2.0718603,0.11364415,-1.0872388
2.0684166,0.112473294,-1.0870272
2.0670137,0.11169951,-1.0869658
2.0656059,0.110985264,-1.0868988
2.064579,0.10857746,-1.087007
2.063199,0.107815765,-1.0869467
2.0616632,0.10692007,-1.0868834
2.0606031,0.10435838,-1.0870016
2.057372,0.1031383,-1.0868132
2.0562778,0.10055151,-1.0869303
2.0548558,0.09974254,-1.08687
2.053409,0.09898837,-1.086803
2.0523326,0.09642051,-1.08692
2.0508814,0.09567757,-1.0868516
2.0494776,0.09500928,-1.0867813
2.048359,0.09239218,-1.0868988
2.0468621,0.09166306,-1.0868251
2.0435288,0.09046495,-1.0866257
2.0424695,0.08778609,-1.0867536
2.0409365,0.08707081,-1.0866756
2.0393424,0.08628933,-1.0865977
2.0382903,0.083642565,-1.0867234
2.0367403,0.08297433,-1.08664
2.03333,0.08185557,-1.0864272
2.0318735,0.08115516,-1.0863547
2.0307596,0.07850234,-1.0864756
2.0293462,0.07784866,-1.0864031
2.0277884,0.07704237,-1.0863304
2.0262966,0.07636605,-1.0862529
2.0250635,0.07379311,-1.0863564
2.0218134,0.0727877,-1.0861485
2.020247,0.0720734,-1.0860672
2.018684,0.07138729,-1.0859841
2.0171914,0.070411526,-1.0859314
2.0161266,0.067671746,-1.0860639
2.012948,0.066295,-1.0858932
2.0118995,0.063375846,-1.0860422
2.0103393,0.062419742,-1.0859817
2.0088868,0.06154059,-1.0859246
2.0056858,0.06023258,-1.0857462
2.0047493,0.057488505,-1.0858905
2.003275,0.056619972,-1.0858305
2.0017817,0.05572488,-1.0857711
2.0003324,0.05487573,-1.0857117
1.998988,0.054110743,-1.0856547
1.9958249,0.05282566,-1.0854778
1.9947952,0.050118435,-1.0856106
1.9933968,0.0492,-1.0855618
1.9920063,0.048316583,-1.0855105
1.9910482,0.04536881,-1.0856698
1.9895458,0.044436056,-1.0856127
1.9880925,0.043535933,-1.0855572
1.985428,0.04028672,-1.0855885
1.9840653,0.039239977,-1.0855533
1.9827299,0.038234342,-1.0855172
1.9814883,0.037216034,-1.0854905
1.9801813,0.036188208,-1.0854588
1.9794159,0.033334192,-1.0856276
1.9781212,0.03232588,-1.0855954
1.976784,0.031304024,-1.0855604
1.9755471,0.030250952,-1.0855372
1.9742619,0.029190961,-1.08551
1.9732745,0.026257083,-1.0856656
1.971916,0.02523486,-1.0856287
1.9705456,0.024153214,-1.0855958
1.9696939,0.02109582,-1.085774
1.9665749,0.019691683,-1.0856109
1.9651337,0.018520145,-1.085579
1.9638216,0.017425867,-1.0855523
1.9631615,0.013678713,-1.0858049
1.9618568,0.012701653,-1.0857692
1.9605901,0.011745134,-1.0857352
1.9591423,0.011582544,-1.0856189
1.9579635,0.010401036,-1.0856113
1.9570165,0.008361201,-1.0856962
1.9559064,0.007229753,-1.0856907
1.9550788,0.004179439,-1.0858703
1.9537871,0.0029443393,-1.0858573
1.9525244,0.0016738741,-1.0858496
1.9510789,0.0011949014,-1.0857599
1.9504949,-0.0027505069,-1.0860357
1.9491502,-0.0030684785,-1.0859416
1.9479938,-0.0042179595,-1.0859334
1.9467471,-0.0054368833,-1.0859232
1.9455891,-0.006556109,-1.0859123
1.9443966,-0.0076522687,-1.0858966
1.9431584,-0.008826666,-1.0858831
1.9420416,-0.009859986,-1.0858691
1.940839,-0.010979768,-1.0858543
1.940001,-0.0142097045,-1.0860479
1.9387648,-0.015321482,-1.0860295
1.9375257,-0.016392633,-1.0860075
1.9362438,-0.017521426,-1.0859864
1.9332907,-0.01921105,-1.085862
1.9320939,-0.020374274,-1.0858514
1.930897,-0.021561746,-1.0858428
1.9296224,-0.022740312,-1.0858266
1.9283612,-0.02399071,-1.0858176
1.927904,-0.02500612,-1.085861
1.9267482,-0.02616911,-1.085854
1.9257194,-0.028211959,-1.0859318
1.9214065,-0.027870025,-1.0855163
1.9201764,-0.029042868,-1.0855036
1.9188919,-0.030144075,-1.08548
1.9176424,-0.03127067,-1.0854616
1.9163547,-0.032396086,-1.0854397
