r11,r21,r12,r22,tx,ty
0.998209,0.00035952,-0.00041948,0.998383,-1.41091,0.100952
0.998396,6.82791e-05,-0.0001694,0.998506,-1.85391,0.244361
0.998738,-0.000117609,-5.5022e-05,0.998596,-1.72548,-0.175332
0.999127,0.000342267,-0.000220124,0.999146,-1.40229,-0.595565
0.999629,0.000251348,-0.000312453,0.99957,-1.01398,-0.385796
0.999767,0.000110917,-0.000224546,0.999784,-0.959406,-0.210313
0.999783,0.000130219,-0.000133177,0.999839,-1.25229,-0.165015
0.999918,0.000173418,-0.000150431,0.999972,-0.849733,-0.217835
0.999953,0.000365727,-0.000159517,1.00001,-0.602089,-0.130507
0.999932,0.000193998,-0.000110191,0.999973,-0.49227,-0.0172646
1.00005,0.000144019,-0.000166439,1.00007,-0.461782,0.0924312
1.00028,0.000287558,-0.000130835,1.00015,-0.631174,0.0159891
1.00045,0.000327331,-0.000287812,1.00042,-0.476231,-0.196288
1.00056,0.00011459,-0.000133441,1.00038,-0.477516,0.0340018
1.00057,0.000212714,-0.000112419,1.00052,-0.59505,0.0632889
1.0007,6.9416e-05,-8.6298e-05,1.00062,-0.748619,0.00848108
1.0008,0.000155331,-0.000108638,1.00074,-0.977697,-0.131635
1.00082,0.000216134,-0.000179808,1.00082,-0.333308,-0.147641
1.00082,0.000147648,-8.26517e-05,1.00074,-0.219752,-0.123636
1.00078,0.000111749,-8.40973e-05,1.00071,-0.215961,-0.00879079
1.0007,6.03901e-05,-9.8066e-05,1.00065,-0.367053,-0.121199
1.00055,5.38148e-05,-5.32289e-05,1.00052,-0.283549,-0.100809
1.0006,-2.91067e-05,-0.000102097,1.00062,-0.475481,-0.270179
1.0004,8.59382e-05,1.26112e-05,1.00034,-0.380991,-0.143892
1.00047,-0.000133777,5.67087e-07,1.00034,-0.377382,-0.173176
1.00028,5.96478e-05,-2.77115e-06,1.0002,-0.350838,-0.0375184
1.00032,8.24446e-05,-4.69145e-05,1.0002,-0.305206,-0.0172909
1.00017,4.74984e-06,-1.74686e-05,1.00014,-0.359064,0.0153452
1.00021,-0.000174057,1.86593e-05,1.00018,-0.304539,0.0443559
1.00011,3.1423e-05,2.30808e-05,1.00008,-0.101145,-0.028358
1.00005,2.4377e-05,-1.16566e-05,1.00007,-0.0560526,-0.00910686
0.999958,1.2194e-05,-2.37535e-05,1.00001,-0.21147,0.0118717
0.999899,2.12913e-06,-4.67244e-05,0.999904,-0.0313912,-0.0371002
0.999844,0.000121425,-8.35659e-05,0.999911,0.0317578,0.0169349
0.99976,2.61726e-05,-8.7358e-05,0.999754,0.0449861,0.103287
0.999707,2.95366e-05,-1.71408e-05,0.999613,0.0491942,0.172414
0.99967,8.40979e-05,-5.06082e-05,0.999587,0.125207,0.236489
0.999758,-7.77786e-06,-2.14e-05,0.999725,0.0888083,0.179147
0.999706,-0.000167868,2.35337e-05,0.999869,-0.266152,0.102328
1.00013,-0.00023989,0.000627196,1.00023,0.367047,0.764461
1.00023,-6.8417e-05,0.000396834,1.0004,2.38662,1.87561
1.00002,0.000100464,0.000210468,1.00039,3.22992,3.30174
1.00019,0.000361707,0.000354547,1.00052,4.12179,4.6269
1.00042,9.82547e-05,0.000458101,1.00083,5.16896,5.63151
1.0006,0.000337378,0.00050378,1.0012,5.99707,6.60469
1.00057,0.000175106,0.000708478,1.00096,7.08298,7.81932
1.00047,0.000294227,0.000826888,1.00094,8.99776,7.89564
1.00059,0.000557628,0.000720813,1.00086,10.4823,7.74735
1.00069,0.000786927,0.000677354,1.00097,12.2689,7.43572
1.00104,0.000307978,0.000760687,1.0007,16.2783,6.76734
1.00093,0.000861998,0.000146356,1.00091,12.8619,5.72126
1.00063,0.000486616,-3.66358e-05,1.00057,9.933,4.68075
1.00023,0.000645826,-0.000217181,1.00007,7.59713,3.68812
0.999771,0.000484193,-0.000199967,0.999831,5.32731,2.95756
0.999415,0.00035853,-0.000258694,0.999383,2.57233,1.88804
0.999075,-0.000307648,3.82049e-05,0.999245,-0.612669,0.991823
0.99915,5.02876e-05,0.000416969,0.999196,0.635321,0.442034
0.999185,2.48306e-05,0.000418684,0.999072,3.68119,0.1232
0.999488,0.000185781,0.000315318,0.999474,5.28586,0.155363
0.999977,0.000501717,0.00030582,0.999737,7.32322,0.21912
1.0005,0.000683002,0.000227907,1.00027,9.25315,0.0930074
1.00075,0.000854711,0.000158153,1.00047,10.1368,-0.0774589
1.00083,0.000884532,0.000230263,1.00049,11.7058,-0.0232425
1.00088,0.000966026,0.000167073,1.00049,13.1717,0.0181261
1.0009,0.00108785,0.00014392,1.00056,14.0619,0.18252
1.00101,0.00152589,4.283e-06,1.00049,15.2132,0.0555509
1.00114,0.00192254,-0.000443433,1.0007,15.8984,0.0381003
1.0014,0.00189102,-0.000521482,1.00109,16.7944,-0.118419
1.00161,0.00228507,-0.000884136,1.00139,17.4834,1.46423
1.00179,0.00219463,-0.000440287,1.00166,17.6371,2.71807
1.00212,0.000951549,0.000572699,1.0021,18.7313,4.59241
1.00217,0.00137378,6.04769e-05,1.00233,16.8609,6.28282
1.00213,0.00125979,0.000267401,1.00249,16.1125,7.99274
1.00209,0.000529059,0.000761966,1.00232,16.9097,9.42979
1.0018,0.000792813,0.000215534,1.00233,13.5506,10.0924
1.0016,0.000438505,0.000176069,1.00219,10.2228,10.8894
1.00137,0.000403246,0.000269595,1.00205,7.74725,11.6282
1.00117,0.000201578,0.000139034,1.00199,5.01271,12.0836
1.00124,-2.09068e-05,1.64372e-05,1.00223,2.0867,12.7553
1.00133,-0.000203911,-4.80273e-07,1.00234,-0.188861,13.1002
1.00135,-0.000186294,2.7685e-05,1.00225,-1.94914,13.3467
1.00119,-0.000188992,2.24679e-05,1.00253,-3.89337,13.8636
1.001,-0.000434154,-4.11783e-05,1.00221,-5.27646,14.3085
1.00084,-0.000394877,-0.000154844,1.00198,-6.6335,14.3584
1.00062,-0.00104948,0.000189489,1.00194,-10.0492,14.455
1.00052,-0.000916223,0.000355087,1.00218,-11.2235,15.0469
1.00038,-0.000229282,4.93416e-05,1.00223,-10.026,16.2519
1.00056,-0.000579762,0.000282631,1.00211,-8.54276,16.8714
1.00067,-0.000671131,0.000631691,1.0024,-7.39974,17.2764
1.0009,-0.000510968,0.000776076,1.00255,-4.31416,17.5915
1.00083,-0.000546772,0.000791269,1.00231,-2.49539,17.5544
1.00091,-0.000238923,0.000763282,1.00245,-0.646535,17.7137
1.00087,-3.13261e-05,0.000740475,1.00241,1.00172,17.3061
1.00088,0.000198996,0.000575588,1.00221,2.38424,17.7164
1.0007,0.000130023,0.00091049,1.00192,4.55407,17.0024
1.00072,-1.52198e-05,0.00084504,1.00177,6.704,15.5492
1.00087,0.000770514,0.000694579,1.00166,8.36465,14.2561
1.00095,0.000605509,0.000645517,1.00165,9.64402,12.7578
1.00134,0.00086915,0.000570692,1.00192,11.1175,11.5383
1.00169,0.000863232,0.000581881,1.0022,12.0076,10.2435
1.00195,0.0010447,0.000499556,1.00214,13.276,9.13611
1.00208,0.00123621,0.000265575,1.00233,14.228,8.18091
1.00214,0.00085363,0.000666335,1.0025,15.2558,8.36456
1.00209,0.00235147,-0.000891571,1.00254,14.734,9.71636
1.00224,0.00233136,-0.000946308,1.00291,14.2395,10.751
1.00233,0.00230908,-0.000699711,1.00297,13.6599,12.0961
1.00235,0.00116362,0.000258744,1.00312,13.9487,13.2607
1.00226,0.000848041,0.000270306,1.00313,12.8011,14.2868
1.00214,0.000987201,0.000351458,1.00314,10.8919,15.3971
1.00227,0.00110264,0.000337933,1.00328,12.2895,16.1843
1.00214,0.000391247,0.000338551,1.00323,11.199,16.7665
1.00216,0.000170639,0.000387681,1.00308,8.45273,16.6793
1.00202,9.68387e-06,0.000247211,1.00313,5.78458,16.9146
1.00119,-0.000997388,0.0006861,1.00241,-0.988421,16.5833
1.00091,-0.000270454,0.000806023,1.00175,-1.20502,13.1722
1.0006,-0.000336022,0.000693665,1.00148,-0.940046,10.1809
0.999981,7.04768e-05,7.96795e-05,1.00024,-0.237328,7.89184
0.999587,5.26661e-05,0.00016225,1.00013,-0.474595,5.67425
0.99961,0.00039172,-0.00034528,0.999661,-0.295687,3.61445
0.999648,0.00045197,-0.000340835,0.999801,-0.985946,2.11775
0.999703,0.00029823,-0.000409421,0.999723,-0.927337,1.51565
0.9996,0.000440673,-0.000418858,0.99975,-1.01207,1.31738
0.999639,0.000386717,-0.000442309,0.999645,-1.11127,1.08755
0.999767,0.000287846,-0.000308533,0.999838,-1.04828,0.897753
0.999839,0.000290666,-0.000284948,0.999886,-1.09536,0.716964
1.00008,0.000373937,-0.000446539,1.0001,-0.970331,0.692391
1.00054,0.000383386,-0.000321051,1.00045,-0.759918,0.295559
1.00082,0.000533388,-0.000429544,1.00081,-0.796774,0.202271
1.00095,0.000323426,-0.000401164,1.00094,-0.793256,0.0798034
1.00111,0.000392558,-0.000363061,1.00119,-0.705527,0.17375
1.00112,0.000279142,-0.000204393,1.00106,-0.660277,0.231575
1.00112,0.000349442,-0.000289556,1.00119,-0.216157,0.160764
1.00115,0.000355526,-0.000326746,1.0011,-0.108415,-0.00146143
1.0011,0.000256679,-0.000256849,1.00112,-0.0429367,0.0778086
1.00095,0.000273282,-0.000169796,1.0008,-0.114697,0.0864554
1.00086,0.000163047,-0.000172212,1.00083,-0.0652228,-0.0149627
1.00078,0.000223296,-0.000127437,1.00065,-0.0328937,0.0312058
1.00066,0.000192664,-0.000309197,1.00067,-0.111822,-0.206007
1.00054,0.000392019,-0.000268723,1.0005,-0.339211,-0.103352
1.00027,0.000190319,-0.000156002,1.0003,-0.0504841,-0.0895748
1.00021,0.000228057,-0.000230362,1.00021,0.0903894,-0.0823267
1.00005,0.000258783,-0.000211901,1.00009,0.0897876,-0.0413606
0.999919,0.000164324,-0.000240447,0.999919,-0.0113313,0.0800551
0.999902,8.545e-05,-0.000126999,0.999895,0.0194522,0.0376474
0.999867,0.000155253,-0.000136021,0.999885,0.0767885,0.0388359
0.999908,0.00012456,-0.000116195,0.9999,0.0746246,0.0764212
0.99986,0.000313519,-0.0001166,0.999906,0.355682,0.0732433
0.999887,0.000260733,-9.78985e-05,0.999918,0.638184,0.0254312
1.00003,0.000740128,-0.000747555,1.00026,1.09535,0.966973
1.00001,0.000479238,-0.000461695,1.00039,1.13356,3.22247
1.00004,0.000764445,-0.000618458,1.0006,0.939841,5.03597
1.00001,0.000668042,-0.000532244,1.0007,0.725815,6.84467
0.99958,-0.000291523,0.000349535,1.00018,0.05953,8.32867
0.999211,-0.00054503,0.000731198,0.999388,-0.7196,5.82973
0.999178,-0.000260638,0.000292884,0.999292,-0.436035,3.11136
0.998908,0.000137212,-2.54222e-05,0.998815,-0.164726,1.73895
0.998549,0.000215835,-0.000202118,0.998692,0.156867,0.905592
0.998395,5.59658e-05,-2.36483e-05,0.998467,-0.440827,0.600822
0.998343,0.000169583,0.00025353,0.998199,2.85187,-0.247416
0.998555,0.000187622,0.000300736,0.998182,4.49965,-1.62072
0.999019,0.00036022,0.000127291,0.998492,5.88224,-2.55884
0.999561,0.00051013,8.39998e-06,0.999014,7.23054,-3.9728
0.999859,0.000514991,-3.19919e-06,0.99912,8.1549,-5.28495
1.00001,0.000733764,-0.000117701,0.999241,9.22998,-5.99157
1.00011,0.000924729,-7.42751e-05,0.999251,10.6014,-6.94426
1.00034,0.000985971,-0.000250202,0.99941,11.6253,-7.5673
1.00048,0.00129997,-0.000156553,0.999607,13.4523,-7.10513
1.00068,0.00121961,-0.000200474,0.999917,14.5772,-6.65326
1.00095,0.0012475,-0.000155751,1.00006,15.8415,-6.14734
1.00131,0.00157004,-0.000240187,1.00063,16.4782,-5.23929
