theta,tx,ty
-7.36931e-06,1.71961,-0.799556
-2.44864e-05,1.89882,-0.774199
-2.19979e-05,1.86965,-0.775193
-6.06808e-05,1.84316,-0.752178
1.67987e-05,1.90011,-0.765167
-1.91157e-05,1.92578,-0.737618
1.73668e-05,1.92392,-0.709613
1.92143e-05,1.89728,-0.698736
-6.31477e-06,1.9262,-0.683957
5.81526e-07,1.89919,-0.749696
-2.30491e-07,1.90635,-0.640725
-2.86114e-06,2.06644,-0.674923
4.86766e-06,1.96492,-0.706654
2.83295e-05,2.0809,-0.735029
5.89411e-06,1.99706,-0.564668
2.19942e-05,2.01596,-0.637896
1.44415e-05,2.01885,-0.616983
1.99705e-05,2.04631,-0.61224
9.44601e-06,2.03415,-0.675949
-8.52074e-07,2.02824,-0.530539
1.89697e-05,2.0613,-0.549844
-2.83597e-05,2.11417,-0.618072
2.73554e-05,2.03932,-0.591756
5.27807e-06,2.05799,-0.530256
8.34843e-06,2.06843,-0.512288
-2.3117e-05,2.10698,-0.519931
-1.70691e-05,2.1152,-0.54098
-4.7651e-05,2.09243,-0.533536
-2.1212e-05,2.07732,-0.510065
-1.71101e-05,2.08218,-0.524927
2.87793e-05,2.18418,-0.589306
-3.40431e-06,2.06014,-0.50974
-3.77533e-05,2.19653,-0.503975
1.32249e-05,2.18702,-0.475646
1.11843e-06,2.12414,-0.488253
-1.6958e-05,2.17081,-0.482312
-1.6186e-05,2.1517,-0.465186
2.12306e-05,2.19338,-0.459795
1.26114e-05,2.22184,-0.454457
-1.20606e-05,2.19952,-0.384713
-5.15978e-05,2.24089,-0.412978
-9.89161e-06,2.22829,-0.392156
-5.02088e-07,2.19812,-0.398096
-1.40407e-05,2.29542,-0.383014
-1.49392e-05,2.22578,-0.459612
1.38336e-06,2.27091,-0.35272
-2.71955e-05,2.24232,-0.41925
-3.72225e-05,2.2075,-0.405038
8.4724e-06,2.31722,-0.44198
-3.05748e-05,2.25414,-0.359423
-7.14419e-05,2.35212,-0.422976
-2.9563e-05,2.32851,-0.340991
-7.46189e-05,2.25617,-0.377568
-5.47319e-05,2.3898,-0.36928
-5.3497e-05,2.32883,-0.361222
-9.64237e-07,2.40886,-0.384261
-2.0607e-05,2.33064,-0.385916
-2.02853e-05,2.42373,-0.331285
5.20285e-05,2.48273,-0.370495
-5.51755e-05,2.31721,-0.346266
-6.42582e-06,2.4477,-0.322974
-1.62207e-05,2.43237,-0.378095
-3.40734e-05,2.39604,-0.351037
-5.08392e-05,2.46209,-0.323625
2.69504e-05,2.5153,-0.367019
-2.52153e-05,2.34448,-0.305811
-6.86682e-06,2.4532,-0.353089
-1.88792e-05,2.48946,-0.268083
-1.74797e-06,2.47737,-0.281356
-1.3312e-05,2.48922,-0.320397
-4.59843e-05,2.45997,-0.299204
-2.14198e-05,2.46564,-0.317672
-6.5897e-05,2.39351,-0.313487
2.292e-05,2.53784,-0.307271
