scorer,movement,movement,movement,movement,movement,movement
individuals,individual_0,individual_0,individual_0,individual_0,individual_0,individual_0
bodyparts,H,H,H,T,T,T
coords,x,y,likelihood,x,y,likelihood
45,1128.7349853515625,588.4002075195312,0.9820021390914917,1112.5621337890625,579.76171875,0.9603086709976196
46,1125.2906494140625,588.470947265625,0.9797884821891785,1109.0655517578125,579.6727905273438,0.9635120034217834
47,1125.1383056640625,588.2803955078125,0.980463445186615,1108.8763427734375,579.5389404296875,0.9655413031578064
48,1124.9649658203125,588.1364135742188,0.980929970741272,1108.655029296875,579.458984375,0.9662389159202576
49,1124.8214111328125,588.0223388671875,0.9846194982528687,1108.55810546875,579.3131103515625,0.9653111696243286
50,1124.9884033203125,585.0012817382812,0.9812842011451721,1108.789306640625,576.5980224609375,0.989486038684845
51,1128.1898193359375,584.9146118164062,0.9857668280601501,1112.28759765625,576.1578979492188,0.9659550189971924
52,1128.1865234375,584.9185180664062,0.9892489314079285,1112.234375,576.1583251953125,0.9609021544456482
53,1128.161376953125,584.7749633789062,0.9918919205665588,1112.1773681640625,576.0517578125,0.9608287215232849
54,1128.128662109375,584.7691040039062,0.9962948560714722,1112.1466064453125,576.0438842773438,0.9578662514686584
55,1128.0233154296875,584.6554565429688,0.999072253704071,1111.9947509765625,575.9825439453125,0.9564765095710754
56,1124.62353515625,584.6633911132812,0.9924136400222778,1108.55029296875,576.09375,0.9638547301292419
57,1124.5718994140625,584.6192626953125,0.9910691976547241,1108.4810791015625,576.0450439453125,0.9622324705123901
58,1124.50439453125,584.6053466796875,0.9904463291168213,1108.4488525390625,575.9966430664062,0.9598497152328491
59,1124.4788818359375,584.566162109375,0.9891292452812195,1108.427490234375,575.9638061523438,0.9587490558624268
60,1124.451904296875,584.5551147460938,0.9884657263755798,1108.452880859375,575.8887939453125,0.9583669304847717
61,1124.4306640625,584.5452880859375,0.9869323372840881,1108.466552734375,575.8427124023438,0.9573714137077332
62,1124.423583984375,584.4684448242188,0.9877756834030151,1108.45556640625,575.794921875,0.9611020684242249
63,1121.18994140625,584.6068725585938,0.9755011796951294,1105.003662109375,575.9299926757812,0.9766153693199158
64,1121.22021484375,584.6007080078125,0.977432131767273,1105.012451171875,575.93505859375,0.9800773859024048
65,1128.0760498046875,581.3040161132812,1.0064524412155151,1112.122802734375,572.7577514648438,0.991606593132019
66,1121.2039794921875,584.5418090820312,0.9774808883666992,1104.9932861328125,575.8736572265625,0.9811729788780212
67,1121.2056884765625,584.5371704101562,0.9761833548545837,1104.9766845703125,575.880615234375,0.9785745739936829
68,1121.192138671875,584.5319213867188,0.9762508869171143,1105.006103515625,575.8221435546875,0.9775441884994507
69,1121.22509765625,584.47265625,0.9763294458389282,1105.04052734375,575.7479858398438,0.9771889448165894
70,1128.04150390625,581.27001953125,1.0080561637878418,1112.171142578125,572.5924682617188,0.9879133105278015
71,1127.9971923828125,581.2703857421875,1.0056164264678955,1112.1063232421875,572.5678100585938,0.9865996241569519
72,1124.3240966796875,581.16015625,0.9884878993034363,1108.6773681640625,572.682861328125,0.983141303062439
73,1124.3238525390625,581.1587524414062,0.9892438650131226,1108.6865234375,572.6823120117188,0.9837290048599243
74,1124.300048828125,581.0968017578125,0.9911103248596191,1108.6539306640625,572.6708374023438,0.9843589067459106
75,1124.34814453125,581.0384521484375,0.9924624562263489,1108.651611328125,572.6405029296875,0.9847958087921143
76,1124.433349609375,580.998046875,0.9905979037284851,1108.7347412109375,572.513427734375,0.9791560173034668
77,1124.4918212890625,580.9503784179688,0.9920077323913574,1108.763916015625,572.5301513671875,0.9792997241020203
